36.121054,-5.442119;36.121054,-5.441941;36.121054,-5.441762;36.121054,-5.441583;36.121054,-5.441404;36.121054,-5.441225;36.121054,-5.441046;36.121054,-5.440868;36.121054,-5.440689;36.121054,-5.440510;36.121054,-5.440331;36.121054,-5.440152;36.121054,-5.439973;36.121054,-5.439794;36.121054,-5.439616;36.121054,-5.439437;36.121054,-5.439258;36.121054,-5.439079;36.121054,-5.438900;36.121054,-5.438721;36.121054,-5.438542;36.121054,-5.438364;36.121054,-5.438185;36.121054,-5.438006;36.121054,-5.437827;36.121054,-5.437648;36.121054,-5.437469;36.121054,-5.437290;36.121054,-5.437112;36.121054,-5.436933;36.121054,-5.436754;36.121054,-5.436575;36.121054,-5.436396;36.121054,-5.436217;36.121054,-5.436038;36.121054,-5.435860;36.121054,-5.435681;36.121054,-5.435502;36.121054,-5.435323;36.121054,-5.435144;36.121054,-5.434965;36.121054,-5.434786;36.121054,-5.434608;36.121054,-5.434429;36.121054,-5.434250;36.121054,-5.434071;36.121054,-5.433892;36.121054,-5.433713;36.121054,-5.433534;36.121054,-5.433356;36.121054,-5.433177;36.121054,-5.432998;36.121054,-5.432819;36.121054,-5.432640;36.121054,-5.432461;36.121054,-5.432282;36.121054,-5.432104;36.121054,-5.431925;
36.120874,-5.442119;36.120874,-5.441941;36.120874,-5.441762;36.120874,-5.441583;36.120874,-5.441404;36.120874,-5.441225;36.120874,-5.441046;36.120874,-5.440868;36.120874,-5.440689;36.120874,-5.440510;36.120874,-5.440331;36.120874,-5.440152;36.120874,-5.439973;36.120874,-5.439794;36.120874,-5.439616;36.120874,-5.439437;36.120874,-5.439258;36.120874,-5.439079;36.120874,-5.438900;36.120874,-5.438721;36.120874,-5.438542;36.120874,-5.438364;36.120874,-5.438185;36.120874,-5.438006;36.120874,-5.437827;36.120874,-5.437648;36.120874,-5.437469;36.120874,-5.437290;36.120874,-5.437112;36.120874,-5.436933;36.120874,-5.436754;36.120874,-5.436575;36.120874,-5.436396;36.120874,-5.436217;36.120874,-5.436038;36.120874,-5.435860;36.120874,-5.435681;36.120874,-5.435502;36.120874,-5.435323;36.120874,-5.435144;36.120874,-5.434965;36.120874,-5.434786;36.120874,-5.434608;36.120874,-5.434429;36.120874,-5.434250;36.120874,-5.434071;36.120874,-5.433892;36.120874,-5.433713;36.120874,-5.433534;36.120874,-5.433356;36.120874,-5.433177;36.120874,-5.432998;36.120874,-5.432819;36.120874,-5.432640;36.120874,-5.432461;36.120874,-5.432282;36.120874,-5.432104;36.120874,-5.431925;
36.120694,-5.442119;36.120694,-5.441941;36.120694,-5.441762;36.120694,-5.441583;36.120694,-5.441404;36.120694,-5.441225;36.120694,-5.441046;36.120694,-5.440868;36.120694,-5.440689;36.120694,-5.440510;36.120694,-5.440331;36.120694,-5.440152;36.120694,-5.439973;36.120694,-5.439794;36.120694,-5.439616;36.120694,-5.439437;36.120694,-5.439258;36.120694,-5.439079;36.120694,-5.438900;36.120694,-5.438721;36.120694,-5.438542;36.120694,-5.438364;36.120694,-5.438185;36.120694,-5.438006;36.120694,-5.437827;36.120694,-5.437648;36.120694,-5.437469;36.120694,-5.437290;36.120694,-5.437112;36.120694,-5.436933;36.120694,-5.436754;36.120694,-5.436575;36.120694,-5.436396;36.120694,-5.436217;36.120694,-5.436038;36.120694,-5.435860;36.120694,-5.435681;36.120694,-5.435502;36.120694,-5.435323;36.120694,-5.435144;36.120694,-5.434965;36.120694,-5.434786;36.120694,-5.434608;36.120694,-5.434429;36.120694,-5.434250;36.120694,-5.434071;36.120694,-5.433892;36.120694,-5.433713;36.120694,-5.433534;36.120694,-5.433356;36.120694,-5.433177;36.120694,-5.432998;36.120694,-5.432819;36.120694,-5.432640;36.120694,-5.432461;36.120694,-5.432282;36.120694,-5.432104;36.120694,-5.431925;
36.120515,-5.442119;36.120515,-5.441941;36.120515,-5.441762;36.120515,-5.441583;36.120515,-5.441404;36.120515,-5.441225;36.120515,-5.441046;36.120515,-5.440868;36.120515,-5.440689;36.120515,-5.440510;36.120515,-5.440331;36.120515,-5.440152;36.120515,-5.439973;36.120515,-5.439794;36.120515,-5.439616;36.120515,-5.439437;36.120515,-5.439258;36.120515,-5.439079;36.120515,-5.438900;36.120515,-5.438721;36.120515,-5.438542;36.120515,-5.438364;36.120515,-5.438185;36.120515,-5.438006;36.120515,-5.437827;36.120515,-5.437648;36.120515,-5.437469;36.120515,-5.437290;36.120515,-5.437112;36.120515,-5.436933;36.120515,-5.436754;36.120515,-5.436575;36.120515,-5.436396;36.120515,-5.436217;36.120515,-5.436038;36.120515,-5.435860;36.120515,-5.435681;36.120515,-5.435502;36.120515,-5.435323;36.120515,-5.435144;36.120515,-5.434965;36.120515,-5.434786;36.120515,-5.434608;36.120515,-5.434429;36.120515,-5.434250;36.120515,-5.434071;36.120515,-5.433892;36.120515,-5.433713;36.120515,-5.433534;36.120515,-5.433356;36.120515,-5.433177;36.120515,-5.432998;36.120515,-5.432819;36.120515,-5.432640;36.120515,-5.432461;36.120515,-5.432282;36.120515,-5.432104;36.120515,-5.431925;
36.120335,-5.442119;36.120335,-5.441941;36.120335,-5.441762;36.120335,-5.441583;36.120335,-5.441404;36.120335,-5.441225;36.120335,-5.441046;36.120335,-5.440868;36.120335,-5.440689;36.120335,-5.440510;36.120335,-5.440331;36.120335,-5.440152;36.120335,-5.439973;36.120335,-5.439794;36.120335,-5.439616;36.120335,-5.439437;36.120335,-5.439258;36.120335,-5.439079;36.120335,-5.438900;36.120335,-5.438721;36.120335,-5.438542;36.120335,-5.438364;36.120335,-5.438185;36.120335,-5.438006;36.120335,-5.437827;36.120335,-5.437648;36.120335,-5.437469;36.120335,-5.437290;36.120335,-5.437112;36.120335,-5.436933;36.120335,-5.436754;36.120335,-5.436575;36.120335,-5.436396;36.120335,-5.436217;36.120335,-5.436038;36.120335,-5.435860;36.120335,-5.435681;36.120335,-5.435502;36.120335,-5.435323;36.120335,-5.435144;36.120335,-5.434965;36.120335,-5.434786;36.120335,-5.434608;36.120335,-5.434429;36.120335,-5.434250;36.120335,-5.434071;36.120335,-5.433892;36.120335,-5.433713;36.120335,-5.433534;36.120335,-5.433356;36.120335,-5.433177;36.120335,-5.432998;36.120335,-5.432819;36.120335,-5.432640;36.120335,-5.432461;36.120335,-5.432282;36.120335,-5.432104;36.120335,-5.431925;
36.120155,-5.442119;36.120155,-5.441941;36.120155,-5.441762;36.120155,-5.441583;36.120155,-5.441404;36.120155,-5.441225;36.120155,-5.441046;36.120155,-5.440868;36.120155,-5.440689;36.120155,-5.440510;36.120155,-5.440331;36.120155,-5.440152;36.120155,-5.439973;36.120155,-5.439794;36.120155,-5.439616;36.120155,-5.439437;36.120155,-5.439258;36.120155,-5.439079;36.120155,-5.438900;36.120155,-5.438721;36.120155,-5.438542;36.120155,-5.438364;36.120155,-5.438185;36.120155,-5.438006;36.120155,-5.437827;36.120155,-5.437648;36.120155,-5.437469;36.120155,-5.437290;36.120155,-5.437112;36.120155,-5.436933;36.120155,-5.436754;36.120155,-5.436575;36.120155,-5.436396;36.120155,-5.436217;36.120155,-5.436038;36.120155,-5.435860;36.120155,-5.435681;36.120155,-5.435502;36.120155,-5.435323;36.120155,-5.435144;36.120155,-5.434965;36.120155,-5.434786;36.120155,-5.434608;36.120155,-5.434429;36.120155,-5.434250;36.120155,-5.434071;36.120155,-5.433892;36.120155,-5.433713;36.120155,-5.433534;36.120155,-5.433356;36.120155,-5.433177;36.120155,-5.432998;36.120155,-5.432819;36.120155,-5.432640;36.120155,-5.432461;36.120155,-5.432282;36.120155,-5.432104;36.120155,-5.431925;
36.119976,-5.442119;36.119976,-5.441941;36.119976,-5.441762;36.119976,-5.441583;36.119976,-5.441404;36.119976,-5.441225;36.119976,-5.441046;36.119976,-5.440868;36.119976,-5.440689;36.119976,-5.440510;36.119976,-5.440331;36.119976,-5.440152;36.119976,-5.439973;36.119976,-5.439794;36.119976,-5.439616;36.119976,-5.439437;36.119976,-5.439258;36.119976,-5.439079;36.119976,-5.438900;36.119976,-5.438721;36.119976,-5.438542;36.119976,-5.438364;36.119976,-5.438185;36.119976,-5.438006;36.119976,-5.437827;36.119976,-5.437648;36.119976,-5.437469;36.119976,-5.437290;36.119976,-5.437112;36.119976,-5.436933;36.119976,-5.436754;36.119976,-5.436575;36.119976,-5.436396;36.119976,-5.436217;36.119976,-5.436038;36.119976,-5.435860;36.119976,-5.435681;36.119976,-5.435502;36.119976,-5.435323;36.119976,-5.435144;36.119976,-5.434965;36.119976,-5.434786;36.119976,-5.434608;36.119976,-5.434429;36.119976,-5.434250;36.119976,-5.434071;36.119976,-5.433892;36.119976,-5.433713;36.119976,-5.433534;36.119976,-5.433356;36.119976,-5.433177;36.119976,-5.432998;36.119976,-5.432819;36.119976,-5.432640;36.119976,-5.432461;36.119976,-5.432282;36.119976,-5.432104;36.119976,-5.431925;
36.119796,-5.442119;36.119796,-5.441941;36.119796,-5.441762;36.119796,-5.441583;36.119796,-5.441404;36.119796,-5.441225;36.119796,-5.441046;36.119796,-5.440868;36.119796,-5.440689;36.119796,-5.440510;36.119796,-5.440331;36.119796,-5.440152;36.119796,-5.439973;36.119796,-5.439794;36.119796,-5.439616;36.119796,-5.439437;36.119796,-5.439258;36.119796,-5.439079;36.119796,-5.438900;36.119796,-5.438721;36.119796,-5.438542;36.119796,-5.438364;36.119796,-5.438185;36.119796,-5.438006;36.119796,-5.437827;36.119796,-5.437648;36.119796,-5.437469;36.119796,-5.437290;36.119796,-5.437112;36.119796,-5.436933;36.119796,-5.436754;36.119796,-5.436575;36.119796,-5.436396;36.119796,-5.436217;36.119796,-5.436038;36.119796,-5.435860;36.119796,-5.435681;36.119796,-5.435502;36.119796,-5.435323;36.119796,-5.435144;36.119796,-5.434965;36.119796,-5.434786;36.119796,-5.434608;36.119796,-5.434429;36.119796,-5.434250;36.119796,-5.434071;36.119796,-5.433892;36.119796,-5.433713;36.119796,-5.433534;36.119796,-5.433356;36.119796,-5.433177;36.119796,-5.432998;36.119796,-5.432819;36.119796,-5.432640;36.119796,-5.432461;36.119796,-5.432282;36.119796,-5.432104;36.119796,-5.431925;
36.119616,-5.442119;36.119616,-5.441941;36.119616,-5.441762;36.119616,-5.441583;36.119616,-5.441404;36.119616,-5.441225;36.119616,-5.441046;36.119616,-5.440868;36.119616,-5.440689;36.119616,-5.440510;36.119616,-5.440331;36.119616,-5.440152;36.119616,-5.439973;36.119616,-5.439794;36.119616,-5.439616;36.119616,-5.439437;36.119616,-5.439258;36.119616,-5.439079;36.119616,-5.438900;36.119616,-5.438721;36.119616,-5.438542;36.119616,-5.438364;36.119616,-5.438185;36.119616,-5.438006;36.119616,-5.437827;36.119616,-5.437648;36.119616,-5.437469;36.119616,-5.437290;36.119616,-5.437112;36.119616,-5.436933;36.119616,-5.436754;36.119616,-5.436575;36.119616,-5.436396;36.119616,-5.436217;36.119616,-5.436038;36.119616,-5.435860;36.119616,-5.435681;36.119616,-5.435502;36.119616,-5.435323;36.119616,-5.435144;36.119616,-5.434965;36.119616,-5.434786;36.119616,-5.434608;36.119616,-5.434429;36.119616,-5.434250;36.119616,-5.434071;36.119616,-5.433892;36.119616,-5.433713;36.119616,-5.433534;36.119616,-5.433356;36.119616,-5.433177;36.119616,-5.432998;36.119616,-5.432819;36.119616,-5.432640;36.119616,-5.432461;36.119616,-5.432282;36.119616,-5.432104;36.119616,-5.431925;
36.119437,-5.442119;36.119437,-5.441941;36.119437,-5.441762;36.119437,-5.441583;36.119437,-5.441404;36.119437,-5.441225;36.119437,-5.441046;36.119437,-5.440868;36.119437,-5.440689;36.119437,-5.440510;36.119437,-5.440331;36.119437,-5.440152;36.119437,-5.439973;36.119437,-5.439794;36.119437,-5.439616;36.119437,-5.439437;36.119437,-5.439258;36.119437,-5.439079;36.119437,-5.438900;36.119437,-5.438721;36.119437,-5.438542;36.119437,-5.438364;36.119437,-5.438185;36.119437,-5.438006;36.119437,-5.437827;36.119437,-5.437648;36.119437,-5.437469;36.119437,-5.437290;36.119437,-5.437112;36.119437,-5.436933;36.119437,-5.436754;36.119437,-5.436575;36.119437,-5.436396;36.119437,-5.436217;36.119437,-5.436038;36.119437,-5.435860;36.119437,-5.435681;36.119437,-5.435502;36.119437,-5.435323;36.119437,-5.435144;36.119437,-5.434965;36.119437,-5.434786;36.119437,-5.434608;36.119437,-5.434429;36.119437,-5.434250;36.119437,-5.434071;36.119437,-5.433892;36.119437,-5.433713;36.119437,-5.433534;36.119437,-5.433356;36.119437,-5.433177;36.119437,-5.432998;36.119437,-5.432819;36.119437,-5.432640;36.119437,-5.432461;36.119437,-5.432282;36.119437,-5.432104;36.119437,-5.431925;
